Year (year),Name of the state (state_name),Name of the district (district_name),Name of the block (block_name),Name of the Gram Panchayat (gp_name),Number of registered households (reg_hh),Number of registered persons (reg_pers),Number of deleted job cards for households (del_jobcards_hh),Number of deleted job cards for persons (del_jobcards_pers),Number of included job cards for households (incl_jobcards_hh),Number of included job cards for persons (incl_jobcards_pers),Cumulative job cards issued for Scheduled Castes for households (cumul_hh_jobcards_sc),Cumulative job cards issued for Scheduled Tribes for households (cumul_hh_jobcards_sts),Cumulative job cards issued for other categories for households (cumul_hh_jobcards_others),Total cumulative job cards issued for all categories for households (cumul_hh_jobcards_tot),Number of households demanding employment (emp_demand_hh),Number of persons demanding employment (emp_demand_pers),Number of households offered employment (emp_offer_hh),Number of persons offered employment (emp_offer_pers),Number of households availing employment (emp_avail_hh),Number of persons availing employment (emp_avail_pers),Total person-days of employment availed (emp_avail_tot_persondays),Person-days of employment availed under central liability (emp_avail_central_persondays),Person-days of employment availed under state's liability (emp_avail_states_persondays),Number of households completing 100 days of employment (fam_completed_100_days),Number of households benefiting from land reform or IAY schemes (land_reform_benef_hh),Number of disabled individuals benefiting from the scheme (disabled_benef_indiv)
"2023-2024","Madhya Pradesh","Sehore","Ashta","Guradiya Roopchand","227.0","325.0","0.0","0.0","1.0","3.0","41.0","4.0","152.0","197.0","29.0","50.0","29.0","50.0","26.0","42.0","1201.0","1201.0","0.0","0.0","0.0","0.0"
"2014-2015","Uttarakhand","Chamoli","Gairsain","Kalchunda","78.0","135.0","7.0","17.0","1.0","7.0","0.0","0.0","78.0","78.0","53.0","69.0","53.0","69.0","49.0","65.0","1612.0","1612.0","0.0","0.0","0.0","0.0"
"2019-2020","Odisha","Ganjam","Buguda","Motabadi","1041.0","2202.0","0.0","0.0","236.0","441.0","348.0","21.0","672.0","1041.0","493.0","760.0","493.0","760.0","401.0","508.0","17206.0","17206.0","0.0","33.0","0.0","1.0"
"2018-2019","Uttar Pradesh","Siddharth Nagar","Uska Bazar","Saroole","573.0","839.0","0.0","1.0","68.0","72.0","130.0","3.0","403.0","536.0","404.0","488.0","404.0","488.0","366.0","413.0","16279.0","16279.0","0.0","4.0","0.0","0.0"
"2015-2016","Andhra Pradesh","Nellore","Kaligiri","Krishnareddipalem","1566.0","3577.0","0.0","0.0","34.0","55.0","418.0","85.0","1063.0","1566.0","794.0","1471.0","794.0","1470.0","626.0","1044.0","46906.0","46906.0","0.0","217.0","125.0","9.0"
"2016-2017","Madhya Pradesh","Burhanpur","Burhanpur","Badjhiri","382.0","1228.0","86.0","208.0","15.0","17.0","13.0","13.0","356.0","382.0","172.0","464.0","172.0","464.0","172.0","442.0","9528.0","9528.0","0.0","26.0","0.0","0.0"
"2014-2015","Madhya Pradesh","Seoni","Lakhnadon","Raichore","303.0","829.0","70.0","191.0","3.0","8.0","40.0","84.0","178.0","302.0","181.0","321.0","181.0","321.0","135.0","232.0","3739.0","3739.0","0.0","2.0","48.0","1.0"
"2016-2017","Chhattisgarh","Dhamtari","Kurud","Nawagaon (Thuha)","359.0","829.0","31.0","311.0","24.0","61.0","82.0","1.0","276.0","359.0","319.0","740.0","319.0","740.0","315.0","697.0","14459.0","14459.0","0.0","3.0","0.0","1.0"
"2016-2017","Madhya Pradesh","Alirajpur","Katthiwada","Jharkali","301.0","766.0","50.0","225.0","0.0","1.0","34.0","255.0","12.0","301.0","230.0","388.0","230.0","384.0","204.0","355.0","7720.0","7720.0","0.0","3.0","0.0","0.0"
"2020-2021","Madhya Pradesh","Jhabua","Rama","Nawapada","272.0","839.0","85.0","288.0","26.0","107.0","80.0","182.0","9.0","271.0","310.0","729.0","310.0","729.0","280.0","637.0","17761.0","17761.0","0.0","32.0","0.0","3.0"
