Year (year),Name of the state (state_name),Name of the district (district_name),Name of the block (block_name),Name of the Gram Panchayat (gp_name),Number of registered households (reg_hh),Number of registered persons (reg_pers),Number of deleted job cards for households (del_jobcards_hh),Number of deleted job cards for persons (del_jobcards_pers),Number of included job cards for households (incl_jobcards_hh),Number of included job cards for persons (incl_jobcards_pers),Cumulative job cards issued for Scheduled Castes for households (cumul_hh_jobcards_sc),Cumulative job cards issued for Scheduled Tribes for households (cumul_hh_jobcards_sts),Cumulative job cards issued for other categories for households (cumul_hh_jobcards_others),Total cumulative job cards issued for all categories for households (cumul_hh_jobcards_tot),Number of households demanding employment (emp_demand_hh),Number of persons demanding employment (emp_demand_pers),Number of households offered employment (emp_offer_hh),Number of persons offered employment (emp_offer_pers),Number of households availing employment (emp_avail_hh),Number of persons availing employment (emp_avail_pers),Total person-days of employment availed (emp_avail_tot_persondays),Person-days of employment availed under central liability (emp_avail_central_persondays),Person-days of employment availed under state's liability (emp_avail_states_persondays),Number of households completing 100 days of employment (fam_completed_100_days),Number of households benefiting from land reform or IAY schemes (land_reform_benef_hh),Number of disabled individuals benefiting from the scheme (disabled_benef_indiv)
"2019-2020","Andhra Pradesh","Kurnool","Orvakal","Somyajulapalle","642.0","1519.0","0.0","12.0","17.0","31.0","136.0","5.0","501.0","642.0","502.0","1068.0","502.0","1068.0","448.0","885.0","29376.0","29376.0","0.0","36.0","126.0","7.0"
"2018-2019","Arunachal Pradesh","Papum Pare","Kimin","Lora-Bello","201.0","306.0","1.0","5.0","8.0","14.0","4.0","182.0","15.0","201.0","201.0","202.0","196.0","196.0","186.0","186.0","7430.0","7430.0","0.0","0.0","0.0","0.0"
"2017-2018","Madhya Pradesh","Shivpuri","Shivpuri","Kodawada","198.0","531.0","10.0","95.0","66.0","156.0","72.0","3.0","122.0","197.0","78.0","212.0","78.0","212.0","69.0","184.0","4157.0","4157.0","0.0","0.0","0.0","2.0"
"2017-2018","Bihar","Saharsa","Patarghat","Dhabauli East","2825.0","3248.0","15.0","15.0","922.0","993.0","897.0","8.0","1792.0","2697.0","633.0","670.0","633.0","670.0","131.0","136.0","1428.0","1428.0","0.0","0.0","0.0","0.0"
"2016-2017","Haryana","Sonipat","Sonipat","Sahzadpur","33.0","46.0","59.0","118.0","2.0","4.0","13.0","0.0","19.0","32.0","9.0","9.0","5.0","5.0","2.0","2.0","56.0","56.0","0.0","0.0","0.0","0.0"
"2020-2021","Chhattisgarh","Bijapur","Usoor","Dharmaram","36.0","73.0","0.0","0.0","1.0","2.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2022-2023","Uttar Pradesh","Kheri","Lakhimpur","Nipaniya","254.0","342.0","16.0","27.0","0.0","0.0","100.0","4.0","150.0","254.0","44.0","49.0","44.0","49.0","38.0","42.0","1335.0","1335.0","0.0","0.0","0.0","0.0"
"2017-2018","Tamil Nadu","Virudhunagar","Rajapalayam","Dhalavoipuram","306.0","344.0","479.0","557.0","48.0","56.0","155.0","0.0","151.0","306.0","274.0","289.0","274.0","289.0","265.0","274.0","17817.0","17817.0","0.0","20.0","0.0","0.0"
"2014-2015","Uttar Pradesh","Ambedkar Nagar","Akbarpur","Bhagautipur","144.0","241.0","0.0","0.0","0.0","1.0","84.0","1.0","59.0","144.0","51.0","79.0","51.0","79.0","50.0","71.0","1322.0","1322.0","0.0","0.0","0.0","0.0"
"2014-2015","Rajasthan","Bikaner","Kolayat","Ravvalaa","899.0","1977.0","0.0","0.0","3.0","6.0","74.0","6.0","819.0","899.0","112.0","214.0","112.0","214.0","61.0","121.0","3020.0","3020.0","0.0","0.0","0.0","0.0"
"2018-2019","Madhya Pradesh","Vidisha","Lateri","Wapcha","192.0","353.0","0.0","1.0","9.0","21.0","31.0","3.0","158.0","192.0","118.0","173.0","117.0","172.0","109.0","156.0","5457.0","5457.0","0.0","0.0","0.0","1.0"
"2021-2022","Tamil Nadu","Sivagangai","Sivaganga","Malampatti","732.0","896.0","2.0","18.0","56.0","78.0","64.0","0.0","647.0","711.0","594.0","653.0","594.0","653.0","577.0","623.0","26676.0","26676.0","0.0","7.0","0.0","7.0"
"2016-2017","Karnataka","Shivamogga","Tirthahalli","Thuduru","484.0","876.0","1.0","3.0","14.0","30.0","35.0","36.0","412.0","483.0","212.0","314.0","212.0","314.0","164.0","225.0","5975.0","5975.0","0.0","7.0","0.0","0.0"
"2019-2020","Odisha","Nayagarh","Gania","Kishore Prasad","1250.0","3794.0","2.0","21.0","43.0","112.0","227.0","3.0","1018.0","1248.0","280.0","491.0","270.0","472.0","264.0","455.0","6531.0","6531.0","0.0","4.0","0.0","0.0"
"2014-2015","Maharashtra","Solapur","Akkalkot","Guddewadi","127.0","476.0","0.0","0.0","0.0","0.0","0.0","0.0","125.0","125.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2020-2021","Assam","Golaghat","Golaghat West","Gulung Temera","1964.0","4195.0","9.0","95.0","132.0","474.0","320.0","1255.0","389.0","1964.0","1385.0","2244.0","1385.0","2244.0","1348.0","2048.0","39247.0","39247.0","0.0","10.0","0.0","10.0"
"2016-2017","Uttar Pradesh","Moradabad","Bilari","Jahangeerpur","149.0","194.0","25.0","44.0","0.0","5.0","21.0","0.0","128.0","149.0","58.0","79.0","58.0","79.0","37.0","42.0","626.0","626.0","0.0","0.0","0.0","0.0"
"2023-2024","Maharashtra","Aurangabad","Vaijapur","Hingoni","280.0","602.0","0.0","0.0","38.0","53.0","14.0","3.0","148.0","165.0","30.0","46.0","28.0","42.0","21.0","30.0","216.0","216.0","0.0","0.0","0.0","0.0"
"2015-2016","Odisha","Jajpur","Jajpur","Nathsahi","863.0","1942.0","0.0","1.0","10.0","34.0","190.0","49.0","624.0","863.0","111.0","135.0","111.0","135.0","110.0","131.0","2792.0","2792.0","0.0","0.0","9.0","0.0"
"2015-2016","Uttar Pradesh","Mahoba","Kabrai","Maheba","246.0","627.0","0.0","11.0","20.0","49.0","133.0","0.0","98.0","231.0","87.0","140.0","87.0","140.0","84.0","137.0","2194.0","2194.0","0.0","0.0","0.0","0.0"
"2020-2021","Andhra Pradesh","Krishna","Gudur","Gandram","151.0","329.0","0.0","0.0","15.0","28.0","38.0","1.0","112.0","151.0","86.0","171.0","86.0","171.0","67.0","129.0","3570.0","3570.0","0.0","9.0","0.0","1.0"
"2022-2023","Tamil Nadu","Tiruchirappalli","Vaiyampatty","Thavalaveeranpatty","779.0","978.0","37.0","125.0","0.0","0.0","81.0","0.0","698.0","779.0","749.0","890.0","749.0","890.0","743.0","874.0","57386.0","57386.0","0.0","70.0","0.0","10.0"
"2018-2019","Uttar Pradesh","Pilibhit","Marori","Jamunia","554.0","846.0","1.0","4.0","4.0","11.0","14.0","0.0","530.0","544.0","209.0","301.0","209.0","301.0","171.0","231.0","6378.0","6378.0","0.0","1.0","2.0","3.0"
"2023-2024","Assam","Dhubri","South Salmara","Fakirganj","2762.0","4830.0","0.0","5.0","2.0","149.0","12.0","0.0","2245.0","2257.0","618.0","1074.0","618.0","1072.0","598.0","1030.0","28018.0","28018.0","0.0","0.0","0.0","0.0"
"2019-2020","Kerala","Malappuram","Kuttipuram","Kuttippuram","4903.0","6061.0","22.0","71.0","273.0","368.0","781.0","0.0","4120.0","4901.0","1266.0","1380.0","1266.0","1380.0","1078.0","1171.0","45119.0","45119.0","0.0","99.0","0.0","1.0"
"2020-2021","Chhattisgarh","Dantewada","Dantewada","Balpet","405.0","1273.0","1.0","10.0","24.0","122.0","3.0","23.0","344.0","370.0","284.0","671.0","284.0","671.0","240.0","484.0","11448.0","11250.0","198.0","37.0","0.0","5.0"
"2023-2024","Uttar Pradesh","Balrampur","Gaisri","Pipara","244.0","271.0","41.0","46.0","13.0","16.0","36.0","0.0","208.0","244.0","88.0","88.0","88.0","88.0","79.0","79.0","2203.0","2203.0","0.0","0.0","0.0","0.0"
"2016-2017","West Bengal","Hooghly","Haripal","Haripalsahadev","3782.0","8529.0","0.0","0.0","171.0","357.0","1958.0","337.0","1487.0","3782.0","2569.0","3625.0","2569.0","3625.0","2454.0","3342.0","105827.0","105827.0","0.0","7.0","0.0","29.0"
"2023-2024","Uttar Pradesh","Unnao","Purwa","Bishun Khera","195.0","229.0","0.0","0.0","0.0","2.0","80.0","0.0","113.0","193.0","35.0","37.0","35.0","37.0","23.0","23.0","651.0","651.0","0.0","0.0","0.0","0.0"
"2020-2021","Uttar Pradesh","Kushi Nagar","Motichak","Situhiya","379.0","510.0","0.0","0.0","21.0","37.0","68.0","0.0","294.0","362.0","181.0","217.0","181.0","217.0","147.0","160.0","4403.0","4403.0","0.0","2.0","0.0","0.0"
"2019-2020","Telangana","Jangaon","Kodakandla","Gantlakunta","1009.0","2101.0","0.0","1.0","15.0","23.0","289.0","93.0","627.0","1009.0","545.0","936.0","545.0","936.0","449.0","732.0","15763.0","15763.0","0.0","14.0","59.0","10.0"
"2019-2020","Karnataka","Dharwar","Dharwad","Halligeri","983.0","2488.0","0.0","0.0","36.0","70.0","30.0","31.0","922.0","983.0","554.0","1115.0","545.0","1042.0","530.0","1010.0","25064.0","25064.0","0.0","60.0","0.0","0.0"
"2015-2016","Haryana","Hisar","Hisar-I","Khokha","360.0","637.0","2.0","6.0","0.0","0.0","283.0","0.0","77.0","360.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2022-2023","West Bengal","Purba Medinipur","Panskura-I","Gobindanagar","5113.0","10714.0","864.0","3160.0","5.0","96.0","522.0","501.0","4090.0","5113.0","86.0","137.0","86.0","137.0","84.0","126.0","4105.0","4105.0","0.0","0.0","0.0","2.0"
"2020-2021","Andhra Pradesh","Nellore","Rapur","Siddavaram","1242.0","2314.0","0.0","1.0","37.0","50.0","453.0","147.0","642.0","1242.0","787.0","1277.0","787.0","1278.0","650.0","980.0","43258.0","43258.0","0.0","186.0","0.0","18.0"
"2018-2019","Tripura","Gomati","Karbook","Paschim Karbook","515.0","878.0","0.0","7.0","7.0","17.0","0.0","513.0","2.0","515.0","508.0","613.0","508.0","613.0","508.0","612.0","31661.0","31661.0","0.0","17.0","80.0","1.0"
"2020-2021","Chhattisgarh","Janjgir-Champa","Malkharauda","Bademudpar","791.0","2041.0","5.0","12.0","112.0","278.0","474.0","26.0","200.0","700.0","523.0","1158.0","523.0","1158.0","360.0","706.0","12369.0","11858.0","511.0","26.0","0.0","0.0"
"2017-2018","Madhya Pradesh","Indore","Sawer","Kudana","164.0","418.0","0.0","1.0","14.0","41.0","50.0","11.0","103.0","164.0","82.0","162.0","82.0","162.0","80.0","154.0","5991.0","5991.0","0.0","0.0","0.0","0.0"
"2015-2016","Maharashtra","Solapur","Barshi","Irelewadi","80.0","184.0","0.0","1.0","4.0","18.0","3.0","0.0","77.0","80.0","15.0","27.0","15.0","27.0","15.0","27.0","226.0","226.0","0.0","0.0","0.0","0.0"
"2022-2023","Maharashtra","Palghar","Vasai","Usgaon","307.0","751.0","1.0","2.0","11.0","13.0","0.0","119.0","63.0","182.0","12.0","20.0","12.0","20.0","11.0","18.0","320.0","320.0","0.0","0.0","0.0","0.0"
"2021-2022","Uttarakhand","Udam Singh Nagar","Khatima","Prtappur","462.0","771.0","10.0","15.0","27.0","40.0","73.0","159.0","230.0","462.0","81.0","108.0","81.0","108.0","80.0","105.0","1500.0","1500.0","0.0","0.0","0.0","0.0"
"2023-2024","Maharashtra","Jalna","Mantha","Jamrul","242.0","585.0","0.0","0.0","0.0","0.0","1.0","0.0","165.0","166.0","8.0","12.0","8.0","12.0","8.0","12.0","72.0","72.0","0.0","0.0","0.0","0.0"
"2021-2022","Jammu And Kashmir","Anantnag","Bijibehara","Wopzen","265.0","591.0","0.0","0.0","0.0","3.0","0.0","0.0","265.0","265.0","130.0","223.0","130.0","223.0","126.0","208.0","6792.0","6792.0","0.0","2.0","0.0","0.0"
"2018-2019","Meghalaya","South Garo Hills","Chokpot","Kimdebonggre","17.0","29.0","0.0","0.0","1.0","2.0","0.0","15.0","2.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","1700.0","1700.0","0.0","17.0","0.0","0.0"
"2020-2021","Meghalaya","East Khasi Hills","Pynursla","Mawhiar","110.0","184.0","13.0","21.0","5.0","5.0","0.0","110.0","0.0","110.0","105.0","131.0","105.0","131.0","105.0","131.0","10500.0","10500.0","0.0","105.0","0.0","0.0"
"2023-2024","Uttar Pradesh","Hardoi","Pihani","Rari","166.0","244.0","1.0","1.0","0.0","3.0","69.0","0.0","97.0","166.0","68.0","79.0","68.0","79.0","42.0","46.0","970.0","970.0","0.0","0.0","0.0","0.0"
"2014-2015","Uttarakhand","Pauri Garhwal","Yamkeshwar","Paranda","68.0","152.0","0.0","0.0","0.0","4.0","0.0","0.0","68.0","68.0","49.0","51.0","49.0","51.0","44.0","45.0","973.0","973.0","0.0","0.0","0.0","0.0"
"2014-2015","Chhattisgarh","Bilaspur","Belha","Nevsa","484.0","2281.0","0.0","0.0","4.0","10.0","70.0","5.0","402.0","477.0","212.0","442.0","212.0","442.0","182.0","342.0","3455.0","3455.0","0.0","0.0","0.0","0.0"
"2017-2018","Arunachal Pradesh","Papum Pare","Sagalee","Ompoli","234.0","410.0","135.0","260.0","79.0","79.0","0.0","234.0","0.0","234.0","365.0","365.0","365.0","365.0","234.0","234.0","5202.0","5202.0","0.0","0.0","0.0","0.0"
"2021-2022","Odisha","Bhadrak","Bonth","Badamahisagotha","1056.0","1404.0","205.0","309.0","51.0","83.0","89.0","34.0","933.0","1056.0","415.0","522.0","415.0","522.0","298.0","367.0","5822.0","5822.0","0.0","0.0","0.0","0.0"
"2017-2018","Maharashtra","Aurangabad","Kannad","Adgaon Pi","557.0","1334.0","0.0","0.0","6.0","12.0","0.0","0.0","553.0","553.0","14.0","21.0","14.0","21.0","14.0","21.0","258.0","258.0","0.0","0.0","0.0","0.0"
"2018-2019","Punjab","Ferozepur                 ","Mamdot","Dod","78.0","105.0","0.0","0.0","4.0","4.0","70.0","0.0","6.0","76.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2023-2024","West Bengal","Paschim Medinipur","Midnapore","Panchkhuri-Ii","5583.0","9100.0","104.0","337.0","0.0","3.0","134.0","167.0","5282.0","5583.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2018-2019","Karnataka","Haveri","Savanur","Dambaramattur","589.0","1604.0","4.0","48.0","41.0","92.0","67.0","39.0","479.0","585.0","435.0","893.0","418.0","823.0","402.0","756.0","25751.0","25751.0","0.0","2.0","1.0","1.0"
"2021-2022","Uttar Pradesh","Agra","Pinahat","Laduapura","173.0","173.0","0.0","0.0","4.0","4.0","41.0","1.0","131.0","173.0","38.0","38.0","38.0","38.0","24.0","24.0","870.0","870.0","0.0","0.0","0.0","0.0"
"2016-2017","Uttar Pradesh","Varanasi","Arajiline","Bheemchandi","288.0","474.0","298.0","382.0","3.0","6.0","52.0","0.0","235.0","287.0","86.0","98.0","86.0","98.0","69.0","78.0","1026.0","1026.0","0.0","0.0","0.0","0.0"
"2016-2017","Uttar Pradesh","Basti","Harraiya","Patna","317.0","394.0","16.0","29.0","158.0","201.0","43.0","0.0","266.0","309.0","204.0","233.0","204.0","233.0","173.0","191.0","5431.0","5431.0","0.0","0.0","0.0","0.0"
"2021-2022","Telangana","Nalgonda","Peddavura","Garnekunta","526.0","1220.0","0.0","1.0","10.0","17.0","114.0","1.0","411.0","526.0","185.0","286.0","88.0","144.0","224.0","379.0","9868.0","9300.0","568.0","41.0","0.0","4.0"
"2015-2016","Uttar Pradesh","Kashganj","Soron","Himaunpur","239.0","405.0","6.0","6.0","9.0","32.0","56.0","0.0","181.0","237.0","156.0","201.0","156.0","201.0","139.0","173.0","2852.0","2852.0","0.0","1.0","0.0","0.0"
"2014-2015","Punjab","Bhatinda                  ","Phul","Dhapali Khurd","102.0","163.0","2.0","3.0","4.0","7.0","61.0","0.0","40.0","101.0","50.0","62.0","50.0","62.0","49.0","58.0","1124.0","1124.0","0.0","0.0","0.0","0.0"
"2016-2017","Andhra Pradesh","Visakhapatanam","Paravada","Vennelapalem","365.0","581.0","0.0","33.0","46.0","49.0","1.0","0.0","364.0","365.0","186.0","198.0","186.0","198.0","189.0","195.0","9212.0","9212.0","0.0","1.0","7.0","1.0"
"2022-2023","Madhya Pradesh","Guna","Bamori","Barwan","533.0","846.0","0.0","0.0","0.0","0.0","109.0","143.0","121.0","373.0","191.0","302.0","191.0","302.0","125.0","211.0","9791.0","9791.0","0.0","8.0","0.0","1.0"
"2018-2019","Maharashtra","Beed","Bid","Pokhari (Mai)","381.0","1540.0","0.0","0.0","30.0","297.0","28.0","0.0","286.0","314.0","9.0","9.0","9.0","9.0","9.0","9.0","390.0","390.0","0.0","0.0","0.0","0.0"
"2015-2016","Madhya Pradesh","Ashok Nagar","Ashoknagar","Amkheda Sukha","180.0","677.0","3.0","28.0","0.0","5.0","5.0","0.0","175.0","180.0","32.0","135.0","32.0","135.0","19.0","91.0","1464.0","1464.0","0.0","1.0","0.0","7.0"
"2014-2015","Madhya Pradesh","Khargone","Barwah","Ratnpur","253.0","861.0","99.0","362.0","23.0","59.0","61.0","13.0","178.0","252.0","91.0","228.0","90.0","225.0","90.0","222.0","4109.0","4109.0","0.0","0.0","0.0","0.0"
"2016-2017","Uttar Pradesh","Aligarh","Tappal","Palsera","228.0","300.0","32.0","52.0","24.0","24.0","79.0","0.0","133.0","212.0","101.0","113.0","101.0","113.0","78.0","85.0","1022.0","1022.0","0.0","0.0","2.0","0.0"
"2019-2020","Andhra Pradesh","East Godavari","Rajahmundry(Rural)","Rajavolu","747.0","1296.0","0.0","0.0","18.0","36.0","405.0","2.0","340.0","747.0","306.0","375.0","307.0","377.0","280.0","330.0","17878.0","17878.0","0.0","93.0","49.0","9.0"
"2015-2016","Maharashtra","Gondia","Goregaon","Mohadi","431.0","1253.0","0.0","10.0","6.0","37.0","7.0","12.0","412.0","431.0","265.0","460.0","265.0","460.0","250.0","410.0","13452.0","13452.0","0.0","25.0","0.0","0.0"
"2016-2017","Uttar Pradesh","Amethi","Singhpur","Khanapur Chapra","515.0","635.0","13.0","39.0","41.0","45.0","83.0","0.0","432.0","515.0","275.0","319.0","275.0","319.0","216.0","246.0","5624.0","5624.0","0.0","0.0","0.0","1.0"
"2015-2016","Jammu And Kashmir","Poonch","Mankote","Chajla Jamal Shah","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2022-2023","Uttarakhand","Chamoli","Tharali","Tricot","86.0","117.0","3.0","4.0","0.0","0.0","33.0","0.0","53.0","86.0","62.0","73.0","62.0","73.0","59.0","70.0","2958.0","2958.0","0.0","10.0","0.0","0.0"
"2014-2015","Uttar Pradesh","Bahraich","Visheshwarganj","Dolkuwan","412.0","596.0","0.0","0.0","2.0","8.0","76.0","0.0","336.0","412.0","102.0","129.0","101.0","127.0","95.0","112.0","5769.0","5769.0","0.0","10.0","0.0","0.0"
"2019-2020","Maharashtra","Ahmednagar","Karjat","Karpadi","473.0","1405.0","0.0","3.0","3.0","7.0","28.0","4.0","431.0","463.0","5.0","13.0","5.0","13.0","4.0","12.0","116.0","116.0","0.0","0.0","0.0","0.0"
"2016-2017","Uttarakhand","Nainital","Ramgarh","Satbunga","215.0","350.0","8.0","31.0","2.0","11.0","34.0","0.0","171.0","205.0","31.0","36.0","31.0","36.0","29.0","30.0","2032.0","2032.0","0.0","9.0","0.0","0.0"
"2020-2021","Madhya Pradesh","Khandwa","Harsud","Toraniya","408.0","1017.0","20.0","168.0","28.0","95.0","7.0","49.0","348.0","404.0","383.0","830.0","383.0","830.0","237.0","412.0","12884.0","12884.0","0.0","1.0","0.0","4.0"
"2020-2021","Arunachal Pradesh","West Kameng","Dirang","Khellong","54.0","74.0","0.0","0.0","0.0","0.0","0.0","54.0","0.0","54.0","53.0","53.0","53.0","53.0","53.0","53.0","4283.0","4283.0","0.0","0.0","0.0","0.0"
"2022-2023","Uttar Pradesh","Etawah","Mahewa","Khitaora","305.0","345.0","117.0","183.0","1.0","3.0","42.0","0.0","257.0","299.0","196.0","212.0","196.0","212.0","181.0","193.0","5189.0","5189.0","0.0","0.0","0.0","0.0"
"2017-2018","Maharashtra","Nashik","Kalwan","Hingawi","631.0","1068.0","3.0","6.0","59.0","109.0","0.0","460.0","155.0","615.0","159.0","242.0","159.0","242.0","158.0","238.0","7468.0","7468.0","0.0","8.0","0.0","1.0"
"2021-2022","Uttarakhand","Tehri Garhwal","Jakhnidhar","Marodaa","97.0","190.0","7.0","12.0","1.0","11.0","21.0","0.0","76.0","97.0","93.0","126.0","93.0","126.0","93.0","125.0","3738.0","3738.0","0.0","0.0","0.0","0.0"
"2014-2015","Haryana","Rohtak","Sampla","Chuliana Roj","161.0","204.0","1.0","2.0","13.0","15.0","36.0","0.0","125.0","161.0","81.0","101.0","81.0","101.0","75.0","91.0","1940.0","1940.0","0.0","0.0","0.0","0.0"
"2022-2023","Gujarat","Panch Mahals","Halol","Hadabiya","221.0","372.0","0.0","0.0","1.0","4.0","32.0","23.0","166.0","221.0","18.0","18.0","18.0","18.0","18.0","18.0","622.0","622.0","0.0","0.0","0.0","0.0"
"2014-2015","Rajasthan","Udaipur","Bhindar","Kutvasa","675.0","1758.0","0.0","0.0","0.0","1.0","30.0","58.0","587.0","675.0","304.0","416.0","304.0","416.0","300.0","406.0","14172.0","14172.0","0.0","10.0","0.0","0.0"
"2016-2017","Andhra Pradesh","Nellore","Kota","Thinnela Pudi","630.0","1228.0","0.0","7.0","8.0","16.0","367.0","108.0","155.0","630.0","171.0","287.0","171.0","287.0","64.0","95.0","1200.0","1200.0","0.0","1.0","50.0","0.0"
"2020-2021","Jharkhand","Bokaro","Jaridih","Bandhdih South","991.0","1448.0","11.0","28.0","441.0","537.0","37.0","232.0","458.0","727.0","407.0","616.0","407.0","616.0","281.0","404.0","9860.0","9860.0","0.0","2.0","0.0","0.0"
"2020-2021","Telangana","Rangareddy","Chevella","Ravulapally(Khurd)","132.0","277.0","0.0","0.0","4.0","5.0","30.0","0.0","102.0","132.0","95.0","172.0","95.0","172.0","90.0","154.0","3765.0","3765.0","0.0","5.0","0.0","0.0"
"2014-2015","Madhya Pradesh","Bhopal","Phanda","Bakaniya","87.0","231.0","0.0","1.0","0.0","0.0","16.0","0.0","71.0","87.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2022-2023","Maharashtra","Nashik","Trimbakeshwar","Kharwal","668.0","2074.0","0.0","0.0","52.0","68.0","6.0","427.0","199.0","632.0","130.0","259.0","130.0","259.0","111.0","206.0","3611.0","3248.0","363.0","4.0","0.0","0.0"
"2021-2022","Punjab","Hoshiarpur","Hajipur","Khizerpur","159.0","226.0","4.0","9.0","14.0","15.0","2.0","0.0","157.0","159.0","64.0","68.0","64.0","68.0","61.0","65.0","2051.0","2051.0","0.0","1.0","0.0","0.0"
"2018-2019","Uttar Pradesh","Sitapur","Maholi","Singhaura","370.0","430.0","2.0","2.0","97.0","101.0","189.0","1.0","180.0","370.0","146.0","165.0","146.0","165.0","108.0","121.0","2762.0","2762.0","0.0","0.0","0.0","0.0"
"2022-2023","Meghalaya","North Garo Hills","Bajengdoba","Kitmadamgre","68.0","159.0","0.0","0.0","2.0","4.0","0.0","67.0","1.0","68.0","68.0","81.0","68.0","81.0","68.0","81.0","6455.0","6455.0","0.0","0.0","0.0","0.0"
"2020-2021","Karnataka","Belagavi","Raybag","Mekhali","2690.0","5922.0","0.0","0.0","191.0","481.0","194.0","11.0","2484.0","2689.0","1760.0","3689.0","1759.0","3685.0","1684.0","3514.0","147623.0","147623.0","0.0","774.0","0.0","14.0"
"2023-2024","Telangana","Medak","Narsapur","Sitarampur","166.0","349.0","0.0","0.0","0.0","0.0","37.0","1.0","128.0","166.0","27.0","40.0","27.0","40.0","19.0","29.0","601.0","601.0","0.0","0.0","0.0","0.0"
"2014-2015","Maharashtra","Solapur","Mohol","Najikpimpari","257.0","650.0","0.0","0.0","7.0","16.0","71.0","1.0","185.0","257.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2015-2016","Rajasthan","Jaipur","Bassi","Kashaipura","1025.0","2807.0","0.0","0.0","0.0","0.0","223.0","611.0","191.0","1025.0","124.0","136.0","124.0","136.0","85.0","89.0","3664.0","3664.0","0.0","0.0","0.0","0.0"
"2017-2018","Madhya Pradesh","Shahdol","Beohari","Tenduha","193.0","564.0","20.0","170.0","13.0","21.0","27.0","127.0","35.0","189.0","145.0","343.0","145.0","343.0","73.0","132.0","3575.0","3575.0","0.0","0.0","1.0","0.0"
"2023-2024","Uttar Pradesh","Ambedkar Nagar","Baskhari","Katyaganj","316.0","358.0","73.0","171.0","0.0","14.0","101.0","7.0","208.0","316.0","74.0","86.0","74.0","86.0","62.0","70.0","1924.0","1924.0","0.0","0.0","0.0","0.0"
"2014-2015","Punjab","Gurdaspur","Qadian","Bariar","16.0","30.0","0.0","1.0","0.0","0.0","0.0","0.0","16.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2019-2020","Uttarakhand","Udam Singh Nagar","Kashipur","Lakshhamaipurlacachhai","412.0","730.0","1.0","1.0","83.0","207.0","148.0","1.0","262.0","411.0","131.0","250.0","131.0","250.0","104.0","178.0","4293.0","4293.0","0.0","0.0","0.0","0.0"
"2016-2017","Uttarakhand","Rudra Prayag","Jakholi","Sun","58.0","99.0","3.0","15.0","0.0","0.0","0.0","0.0","58.0","58.0","33.0","45.0","33.0","45.0","30.0","36.0","1323.0","1323.0","0.0","3.0","0.0","0.0"
"2023-2024","Andhra Pradesh","Vizianagaram","Rajam","Guyyanavalasa","297.0","546.0","8.0","120.0","1.0","5.0","66.0","0.0","231.0","297.0","263.0","400.0","261.0","396.0","251.0","355.0","15926.0","15926.0","0.0","9.0","0.0","17.0"
"2016-2017","Uttar Pradesh","Agra","Etmadpur","Arela","166.0","210.0","3.0","5.0","5.0","9.0","141.0","0.0","23.0","164.0","56.0","71.0","56.0","71.0","56.0","68.0","948.0","948.0","0.0","0.0","0.0","0.0"
"2023-2024","Chhattisgarh","Sakti","Sakti","Chamrabarpali","266.0","700.0","0.0","0.0","1.0","13.0","87.0","64.0","114.0","265.0","195.0","432.0","195.0","432.0","181.0","368.0","3499.0","3499.0","0.0","0.0","0.0","8.0"
"2022-2023","Madhya Pradesh","Satna","Satna","Barikala","215.0","403.0","0.0","6.0","4.0","18.0","97.0","40.0","62.0","199.0","138.0","222.0","138.0","222.0","114.0","173.0","4233.0","4233.0","0.0","0.0","0.0","0.0"
"2016-2017","Chhattisgarh","Korea","Manendragarh","Siriyakhoh","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2018-2019","Uttar Pradesh","Pratapgarh","Kalakankar","Manar","341.0","493.0","3.0","4.0","99.0","99.0","240.0","0.0","89.0","329.0","120.0","125.0","120.0","125.0","88.0","92.0","2136.0","2136.0","0.0","0.0","0.0","0.0"
"2019-2020","Madhya Pradesh","Jabalpur","Kundam","Jaitpuri (De)","347.0","720.0","1.0","1.0","0.0","0.0","3.0","300.0","43.0","346.0","140.0","172.0","140.0","172.0","127.0","156.0","2743.0","2743.0","0.0","0.0","0.0","0.0"
